fr_common_name;name;date;site;total_count
Grande Aigrette;Casmerodius albus;09/01/2019;Site_01;1
Héron cendré;Ardea cinerea;09/01/2019;Site_01;1
Martin-pêcheur d'Europe;Alcedo atthis;09/01/2019;Site_01;1
Foulque macroule;Fulica atra;09/01/2019;Site_02;2
Mésange à longue queue;Aegithalos caudatus;09/01/2019;Site_01;6
Canard colvert;Anas platyrhynchos;09/01/2019;Site_01;2
Héron cendré;Ardea cinerea;09/01/2019;Site_01;1
Canard colvert;Anas platyrhynchos;09/01/2019;Site_02;19
Foulque macroule;Fulica atra;09/01/2019;Site_02;12
Foulque macroule;Fulica atra;09/01/2019;Site_03;18
Cygne tuberculé;Cygnus olor;09/01/2019;Site_03;2
Grande Aigrette;Casmerodius albus;09/01/2019;Site_04;1
Grand Cormoran;Phalacrocorax carbo;09/01/2019;Site_04;3
Mouette rieuse;Chroicocephalus ridibundus;09/01/2019;Site_04;1
Cygne tuberculé;Cygnus olor;09/01/2019;Site_04;2
Grande Aigrette;Casmerodius albus;09/01/2019;Site_03;1
Héron cendré;Ardea cinerea;09/01/2019;Site_05;1
Martin-pêcheur d'Europe;Alcedo atthis;09/01/2019;Site_05;1
Canard colvert;Anas platyrhynchos;09/01/2019;Site_05;2
Grande Aigrette;Casmerodius albus;09/01/2019;Site_05;1
Héron cendré;Ardea cinerea;09/01/2019;Site_05;1
Grand Cormoran;Phalacrocorax carbo;09/01/2019;Site_05;5
Grand Cormoran;Phalacrocorax carbo;09/01/2019;Site_05;35
Canard chipeau;Anas strepera;09/01/2019;Site_05;2
Héron cendré;Ardea cinerea;09/01/2019;Site_05;1
Canard chipeau;Anas strepera;09/01/2019;Site_03;4
Héron cendré;Ardea cinerea;09/01/2019;Site_03;1
Grand Cormoran;Phalacrocorax carbo;09/01/2019;Site_03;2
Mouette rieuse;Chroicocephalus ridibundus;09/01/2019;Site_03;1
Grèbe huppé;Podiceps cristatus;09/01/2019;Site_03;4
Héron cendré;Ardea cinerea;09/01/2019;Site_03;1
Héron cendré;Ardea cinerea;09/01/2019;Site_03;1
Canard colvert;Anas platyrhynchos;09/01/2019;Site_04;3
Héron cendré;Ardea cinerea;09/01/2019;Site_04;1
Canard colvert;Anas platyrhynchos;09/01/2019;Site_04;2
Grèbe huppé;Podiceps cristatus;09/01/2019;Site_04;1
Grand Cormoran;Phalacrocorax carbo;09/01/2019;Site_04;1
Canard colvert;Anas platyrhynchos;09/01/2019;Site_04;10
Faucon crécerelle;Falco tinnunculus;09/01/2019;Site_01;1
Canard colvert;Anas platyrhynchos;09/01/2019;Site_01;2
Cygne tuberculé;Cygnus olor;09/01/2019;Site_01;3
Grand Cormoran;Phalacrocorax carbo;09/01/2019;Site_01;1
Canard colvert;Anas platyrhynchos;09/01/2019;Site_01;2
Mouette rieuse;Chroicocephalus ridibundus;09/01/2019;Site_01;1
Grand Cormoran;Phalacrocorax carbo;09/01/2019;Site_01;2
Mouette rieuse;Chroicocephalus ridibundus;09/01/2019;Site_01;1
Foulque macroule;Fulica atra;09/01/2019;Site_01;6
Canard chipeau;Anas strepera;09/01/2019;Site_05;4
Grand Cormoran;Phalacrocorax carbo;09/01/2019;Site_05;1
Héron cendré;Ardea cinerea;09/01/2019;Site_05;4
Grande Aigrette;Casmerodius albus;09/01/2019;Site_05;1
Grand Cormoran;Phalacrocorax carbo;09/01/2019;Site_05;1
Canard colvert;Anas platyrhynchos;09/01/2019;Site_05;2
Canard colvert;Anas platyrhynchos;09/01/2019;Site_05;2
Canard colvert;Anas platyrhynchos;09/01/2019;Site_05;23
Canard chipeau;Anas strepera;09/01/2019;Site_05;6
Oie domestique;Anser cf. domestica;09/01/2019;Site_05;6
Cygne tuberculé;Cygnus olor;11/01/2019;Site_07;2
Foulque macroule;Fulica atra;11/01/2019;Site_07;2
Canard colvert;Anas platyrhynchos;11/01/2019;Site_07;3
Canard colvert;Anas platyrhynchos;11/01/2019;Site_07;2
Canard colvert;Anas platyrhynchos;11/01/2019;Site_07;10
Grèbe castagneux;Tachybaptus ruficollis;11/01/2019;Site_07;3
Grande Aigrette;Casmerodius albus;11/01/2019;Site_07;1
Rougegorge familier;Erithacus rubecula;11/01/2019;Site_07;1
Mésange bleue;Cyanistes caeruleus;11/01/2019;Site_07;1
Grèbe huppé;Podiceps cristatus;11/01/2019;Site_07;1
Grand Cormoran;Phalacrocorax carbo;11/01/2019;Site_07;1
Grande Aigrette;Casmerodius albus;11/01/2019;Site_07;1
Héron cendré;Ardea cinerea;11/01/2019;Site_07;4
Grande Aigrette;Casmerodius albus;11/01/2019;Site_07;1
Canard colvert;Anas platyrhynchos;11/01/2019;Site_07;4
Fuligule milouin;Aythya ferina;11/01/2019;Site_07;2
Héron cendré;Ardea cinerea;11/01/2019;Site_07;1
Oie domestique;Anser cf. domestica;16/01/2019;Site_05;6
Tarin des aulnes;Carduelis spinus;16/01/2019;Site_05;5
Canard colvert;Anas platyrhynchos;16/01/2019;Site_05;21
Mésange boréale;Poecile montanus;16/01/2019;Site_05;2
Mésange charbonnière;Parus major;16/01/2019;Site_05;2
Grive draine;Turdus viscivorus;16/01/2019;Site_05;1
Sittelle torchepot;Sitta europaea;16/01/2019;Site_05;1
Pic vert;Picus viridis;16/01/2019;Site_05;1
Bouvreuil pivoine;Pyrrhula pyrrhula;16/01/2019;Site_05;1
Canard chipeau;Anas strepera;16/01/2019;Site_05;4
Grand Cormoran;Phalacrocorax carbo;16/01/2019;Site_05;1
Héron cendré;Ardea cinerea;16/01/2019;Site_05;1
Foulque macroule;Fulica atra;16/01/2019;Site_01;6
Fuligule milouin;Aythya ferina;16/01/2019;Site_01;1
Héron cendré;Ardea cinerea;16/01/2019;Site_05;1
Pic épeiche;Dendrocopos major;16/01/2019;Site_05;2
Canard chipeau;Anas strepera;16/01/2019;Site_05;1
Geai des chênes;Garrulus glandarius;16/01/2019;Site_05;1
Martin-pêcheur d'Europe;Alcedo atthis;16/01/2019;Site_01;1
Grande Aigrette;Casmerodius albus;16/01/2019;Site_01;1
Cygne tuberculé;Cygnus olor;16/01/2019;Site_01;2
Héron cendré;Ardea cinerea;16/01/2019;Site_01;3
Grande Aigrette;Casmerodius albus;16/01/2019;Site_02;1
Harle bièvre;Mergus merganser;08/02/2019;Site_07;1
Pic noir;Dryocopus martius;08/02/2019;Site_07;1
Grèbe huppé;Podiceps cristatus;12/02/2019;Site_03;1
Héron cendré;Ardea cinerea;12/02/2019;Site_03;1
Cygne tuberculé;Cygnus olor;12/02/2019;Site_04;1
Héron cendré;Ardea cinerea;12/02/2019;Site_04;2
Grèbe huppé;Podiceps cristatus;12/02/2019;Site_04;1
Grand Cormoran;Phalacrocorax carbo;12/02/2019;Site_04;1
Corneille noire;Corvus corone;12/02/2019;Site_04;4
Héron cendré;Ardea cinerea;12/02/2019;Site_05;3
Grande Aigrette;Casmerodius albus;12/02/2019;Site_05;1
Canard colvert;Anas platyrhynchos;12/02/2019;Site_03;1
Grand Cormoran;Phalacrocorax carbo;12/02/2019;Site_03;1
Cygne tuberculé;Cygnus olor;12/02/2019;Site_03;1
Foulque macroule;Fulica atra;12/02/2019;Site_03;11
Canard colvert;Anas platyrhynchos;12/02/2019;Site_04;7
Canard colvert;Anas platyrhynchos;12/02/2019;Site_04;4
Héron cendré;Ardea cinerea;12/02/2019;Site_04;23
Cigogne blanche;Ciconia ciconia;12/02/2019;Site_07;50
Grande Aigrette;Casmerodius albus;12/02/2019;Site_02;1
Grèbe castagneux;Tachybaptus ruficollis;12/02/2019;Site_02;1
Héron cendré;Ardea cinerea;12/02/2019;Site_01;1
Grand Cormoran;Phalacrocorax carbo;12/02/2019;Site_05;61
Canard colvert;Anas platyrhynchos;12/02/2019;Site_05;7
Oie domestique;Anser cf. domestica;12/02/2019;Site_05;6
Héron cendré;Ardea cinerea;12/02/2019;Site_05;1
Fuligule morillon;Aythya fuligula;12/02/2019;Site_07;4
Fuligule milouin;Aythya ferina;12/02/2019;Site_07;1
Canard colvert;Anas platyrhynchos;12/02/2019;Site_07;2
Canard colvert;Anas platyrhynchos;12/02/2019;Site_07;2
Canard colvert;Anas platyrhynchos;12/02/2019;Site_02;5
Foulque macroule;Fulica atra;12/02/2019;Site_02;4
Cygne tuberculé;Cygnus olor;12/02/2019;Site_01;2
Foulque macroule;Fulica atra;12/02/2019;Site_01;15
Grand Cormoran;Phalacrocorax carbo;12/02/2019;Site_05;31
Martin-pêcheur d'Europe;Alcedo atthis;12/02/2019;Site_05;1
Cygne tuberculé;Cygnus olor;12/02/2019;Site_01;2
Bécassine des marais;Gallinago gallinago;12/02/2019;Site_01;10
Grande Aigrette;Casmerodius albus;12/02/2019;Site_04;1
Canard colvert;Anas platyrhynchos;12/02/2019;Site_04;3
Mouette rieuse;Chroicocephalus ridibundus;12/02/2019;Site_04;2
Héron cendré;Ardea cinerea;12/02/2019;Site_04;2
Grand Cormoran;Phalacrocorax carbo;12/02/2019;Site_04;5
Canard colvert;Anas platyrhynchos;12/02/2019;Site_04;6
Héron cendré;Ardea cinerea;12/02/2019;Site_01;1
Cygne tuberculé;Cygnus olor;12/02/2019;Site_01;5
Grand Cormoran;Phalacrocorax carbo;12/02/2019;Site_01;1
Mouette rieuse;Chroicocephalus ridibundus;12/02/2019;Site_01;1
Foulque macroule;Fulica atra;12/02/2019;Site_01;5
Mouette rieuse;Chroicocephalus ridibundus;12/02/2019;Site_01;1
Canard colvert;Anas platyrhynchos;12/02/2019;Site_07;6
Canard chipeau;Anas strepera;12/02/2019;Site_07;4
Canard colvert;Anas platyrhynchos;12/02/2019;Site_07;56
Foulque macroule;Fulica atra;12/02/2019;Site_07;2
Buse variable;Buteo buteo;12/02/2019;Site_07;1
Foulque macroule;Fulica atra;12/02/2019;Site_07;3
Canard chipeau;Anas strepera;12/02/2019;Site_07;2
Canard colvert;Anas platyrhynchos;12/02/2019;Site_07;2
Foulque macroule;Fulica atra;12/02/2019;Site_07;2
Canard colvert;Anas platyrhynchos;12/02/2019;Site_07;6
Héron cendré;Ardea cinerea;12/02/2019;Site_07;20
Canard colvert;Anas platyrhynchos;12/02/2019;Site_07;4
Milan royal;Milvus milvus;14/02/2019;Site_07;5
